user_id,product_id,category,subcategory,brand,price,discount,final_price,rating,review_count,stock,seller_id,seller_rating,purchase_date,shipping_time_days,location,device,payment_method,is_returned,delivery_status
U356787,P39256,Electronics,Mobile,H&M,33090.51,10.46,29629.31,4.9,43,71,S2679,4.3,04-03-2025,6,Bangalore,Tablet,UPI,TRUE,Returned
U198246,P38657,Sports,Outdoor,Samsung,9368.97,5.32,8870.73,3.9,13,119,S9279,4.9,12-12-2025,1,Delhi,Tablet,UPI,TRUE,Returned
U539898,P38893,Sports,Fitness,H&M,14756.85,26,10919.43,4.2,46,229,S5557,4.9,25-04-2024,1,Chennai,Mobile App,Credit Card,TRUE,Returned
U325772,P54118,Beauty,Makeup,Sony,668.83,24.81,502.91,3.8,6,52,S2519,3.1,18-12-2025,2,Mumbai,Web,UPI,FALSE,In Transit
U865179,P70217,Home,Decor,Sony,10881.29,48.63,5589.58,4,48,274,S3045,2.6,16-05-2024,5,Delhi,Web,UPI,FALSE,Delayed
U705397,P35203,Home,Decor,HP,6155.63,17.64,5069.65,3.3,22,360,S2139,5,13-07-2025,5,Bangalore,Mobile App,Credit Card,TRUE,Returned
U498591,P46434,Home,Furniture,Adidas,1104.92,37.81,687.2,3.4,14,232,S6977,3.3,10-02-2026,1,Delhi,Mobile App,Debit Card,FALSE,In Transit
U738720,P93227,Clothing,Kids,Sony,1899.42,63.23,698.36,3.3,18,87,S9751,4.3,27-05-2024,5,Delhi,Tablet,Credit Card,FALSE,Delivered
U330283,P99733,Beauty,Makeup,Sony,3611.18,24.77,2716.69,3.9,17,166,S1916,3.8,03-11-2024,1,Chennai,Mobile App,UPI,FALSE,In Transit
U694731,P51245,Beauty,Makeup,Apple,3826.65,8.46,3502.76,3.4,12,108,S9179,3.2,27-12-2024,1,Mumbai,Web,Cash on Delivery,FALSE,Delivered
U665158,P44438,Home,Furniture,Adidas,5150.37,19.6,4141.13,3.7,8,382,S8019,3.1,02-11-2025,6,Chennai,Tablet,Cash on Delivery,TRUE,Returned
U617488,P21915,Home,Furniture,Nike,17353.88,23.78,13226.52,3.8,15,386,S1771,2.9,29-11-2025,4,Chennai,Mobile App,Credit Card,FALSE,Delayed
U166613,P60432,Clothing,Kids,Boat,3011.46,24.81,2264.24,4.4,54,195,S8668,2.6,17-08-2025,5,Chennai,Tablet,Debit Card,FALSE,Delayed
U887352,P44973,Electronics,Mobile,Zara,50717.33,13.38,43928.98,4.3,6,393,S6573,4.2,01-09-2024,6,Chennai,Mobile App,Debit Card,FALSE,In Transit
U624902,P33416,Clothing,Women,Samsung,1569.37,48.01,815.89,3.4,21,259,S2743,3.8,05-03-2026,1,Bangalore,Tablet,Debit Card,FALSE,Delayed
U492077,P31174,Sports,Cycling,Adidas,10811.67,41.43,6332.66,3.5,15,276,S9689,3.5,29-06-2024,1,Mumbai,Mobile App,Debit Card,FALSE,In Transit
U351083,P17592,Electronics,Mobile,LG,75254.75,35.71,48383.63,5,5,123,S2290,3.8,16-09-2024,2,Bangalore,Mobile App,Cash on Delivery,FALSE,Delivered
U676510,P31643,Sports,Fitness,Nike,13298.23,13.49,11504.06,4.4,6,135,S9645,3.5,09-03-2026,3,Hyderabad,Tablet,Cash on Delivery,FALSE,Delivered
U847581,P50857,Sports,Cycling,H&M,10200.33,31.13,7024.88,4.2,17,204,S7118,2.9,26-02-2025,1,Mumbai,Web,Cash on Delivery,TRUE,Returned
U454508,P12757,Electronics,Laptop,Adidas,46155.03,13.3,40014.69,4.8,8,301,S4770,3.9,15-09-2024,2,Delhi,Tablet,Credit Card,FALSE,Delivered
U132938,P53309,Electronics,Mobile,Adidas,12025.61,18.76,9769.8,4.1,45,36,S9423,4.1,23-05-2024,1,Delhi,Mobile App,Debit Card,FALSE,Delayed
U858490,P84847,Beauty,Skincare,Lenovo,2596.13,39.58,1568.45,2.9,15,295,S8744,2.5,09-11-2025,5,Mumbai,Mobile App,Cash on Delivery,FALSE,In Transit
U471507,P65519,Clothing,Men,Apple,2426.83,27.67,1755.4,4.3,14,210,S8651,3.9,22-07-2025,3,Hyderabad,Tablet,UPI,FALSE,Delayed
U939482,P24322,Electronics,Mobile,Boat,75211.61,39.65,45388.79,4.6,6,127,S4139,4.6,23-01-2025,2,Bangalore,Mobile App,Cash on Delivery,FALSE,Delivered
U361941,P19880,Beauty,Skincare,Sony,1623.25,16.53,1354.94,3.4,24,226,S2604,3,26-05-2025,1,Hyderabad,Mobile App,UPI,FALSE,Delivered
U604740,P38016,Clothing,Men,Boat,2285.53,44.73,1263.17,4.8,10,442,S7570,3.9,15-12-2024,3,Hyderabad,Mobile App,Credit Card,FALSE,In Transit
U399105,P65444,Electronics,Camera,Sony,26490.59,17.61,21826.48,4.1,6,356,S8973,4.9,29-07-2025,5,Hyderabad,Mobile App,Credit Card,FALSE,In Transit
U163918,P51104,Clothing,Men,HP,4289.1,18.3,3504.14,3.2,2,29,S1821,2.6,21-12-2024,2,Chennai,Tablet,Cash on Delivery,TRUE,Returned
U632496,P20500,Sports,Cycling,Nike,3012.77,12.04,2650.04,4,4,435,S4044,3.2,13-01-2026,1,Delhi,Mobile App,UPI,FALSE,Delayed
U358175,P85880,Clothing,Women,Apple,3820.54,24.86,2870.61,4.5,9,304,S1651,2.7,06-03-2025,1,Chennai,Tablet,UPI,FALSE,In Transit
U373432,P36772,Sports,Cycling,Lenovo,748.84,39.35,454.16,3.5,60,342,S6147,3.5,27-04-2025,6,Bangalore,Mobile App,Debit Card,FALSE,In Transit
U579434,P51441,Clothing,Kids,Zara,3357.92,40.19,2008.43,4,49,475,S2188,4.9,10-11-2025,4,Bangalore,Mobile App,Cash on Delivery,FALSE,Delayed
U323508,P76307,Sports,Fitness,Apple,10318.94,30.8,7140.55,4,15,135,S3170,3.5,24-05-2024,3,Chennai,Web,UPI,FALSE,Delivered
U974244,P81200,Home,Kitchen,Nike,4720.03,5.82,4445.33,4,10,360,S5956,3.5,11-06-2024,1,Hyderabad,Tablet,UPI,FALSE,Delayed
U240814,P44664,Sports,Outdoor,Zara,10546.91,20.68,8366.32,4.1,18,59,S2753,4.4,20-01-2026,3,Delhi,Tablet,Credit Card,FALSE,In Transit
U313487,P93130,Home,Decor,Adidas,8839.74,20.34,7042.08,4.7,12,436,S5325,3.4,15-09-2024,1,Bangalore,Tablet,Cash on Delivery,FALSE,In Transit
U969634,P46265,Electronics,Mobile,Zara,45074.56,6.87,41977.04,4.4,17,22,S1058,4.1,25-08-2024,4,Hyderabad,Web,Credit Card,FALSE,Delayed
U678478,P66057,Home,Furniture,H&M,7244.63,40.62,4301.78,3.5,19,287,S1158,4.7,23-08-2024,2,Hyderabad,Mobile App,UPI,FALSE,Delayed
U710805,P82420,Clothing,Kids,Samsung,1026.8,16.07,861.82,3.9,12,75,S8041,4.7,11-11-2025,2,Bangalore,Mobile App,UPI,FALSE,In Transit
U815198,P42706,Home,Furniture,LG,5431.33,44.62,3008.08,4,16,341,S2684,3.4,29-04-2025,4,Mumbai,Web,Cash on Delivery,FALSE,Delayed
U532322,P13248,Clothing,Men,Nike,3997.16,16.67,3330.76,3.7,19,91,S6442,4.4,04-10-2024,3,Mumbai,Web,Credit Card,FALSE,In Transit
U140605,P71694,Clothing,Kids,Apple,4202.56,34.01,2773.13,3.4,19,113,S4269,4.9,17-10-2024,1,Hyderabad,Web,Debit Card,FALSE,In Transit
U517821,P53025,Clothing,Men,Samsung,4864.45,69.58,1479.87,3.9,9,142,S2137,2.9,31-12-2024,3,Mumbai,Web,Debit Card,TRUE,Returned
U447235,P13617,Sports,Outdoor,Zara,6070.93,38.17,3753.68,3.8,11,59,S5279,2.9,15-06-2024,4,Chennai,Mobile App,Debit Card,FALSE,Delivered
U557592,P89457,Electronics,Camera,LG,53513.63,14.1,45969.15,4.1,19,261,S2894,4.5,04-03-2025,1,Bangalore,Web,Credit Card,FALSE,In Transit
U945687,P80575,Electronics,Camera,Samsung,56354.84,30.4,39222.87,3.7,125,351,S4228,2.6,05-02-2025,6,Chennai,Web,Cash on Delivery,FALSE,Delivered
U854717,P49363,Home,Decor,LG,16400.51,31.74,11195.66,4.1,18,259,S6067,2.7,10-12-2025,2,Delhi,Tablet,Cash on Delivery,FALSE,In Transit
U233470,P35144,Beauty,Haircare,Sony,561.72,29.05,398.57,4,24,215,S7211,4.4,15-07-2024,5,Chennai,Tablet,Credit Card,FALSE,Delayed
U974224,P10053,Sports,Outdoor,Boat,4483.61,14.33,3841.32,4,32,155,S5700,2.8,11-08-2024,2,Chennai,Mobile App,Cash on Delivery,FALSE,Delayed
U563246,P67954,Sports,Cycling,LG,12856.63,29.84,9020.75,4.4,23,345,S4501,3.7,14-01-2025,1,Hyderabad,Tablet,Cash on Delivery,FALSE,Delayed
U640490,P97012,Clothing,Kids,Apple,4031.01,47.04,2134.99,3.9,25,324,S6491,3.6,17-02-2025,2,Bangalore,Mobile App,Credit Card,FALSE,Delayed
U125611,P16057,Home,Furniture,Adidas,10765.8,32.99,7213.74,3.1,19,125,S8784,3.7,25-06-2024,4,Mumbai,Tablet,UPI,FALSE,In Transit
U853240,P60328,Beauty,Haircare,HP,564.14,10.76,503.43,3.3,32,253,S7547,3.7,22-09-2025,1,Mumbai,Mobile App,Credit Card,FALSE,Delayed
U284430,P77889,Electronics,Mobile,Boat,55066.83,14.75,46944.11,4.3,7,237,S1822,2.8,08-07-2024,1,Mumbai,Tablet,Credit Card,FALSE,Delivered
U686075,P88047,Beauty,Skincare,Puma,2509.5,28.02,1806.22,3.6,6,162,S8251,4.5,04-12-2025,1,Chennai,Tablet,Cash on Delivery,FALSE,Delayed
